matchId,videoTimestamp,postShotXg,xg,videoPath
5228177,3664,0.2932,0.0771,video/competition-198/season-187389/match-5228177/goal-s3652-e3699.mp4
5228177,4829,0.6357,0.3204,video/competition-198/season-187389/match-5228177/goal-s4817-e4864.mp4
5228177,5114,0.7948,0.3033,video/competition-198/season-187389/match-5228177/goal-s5102-e5149.mp4
5228178,191,0.7206,0.2064,video/competition-198/season-187389/match-5228178/goal-s179-e226.mp4
5228178,588,0.81,0.76,video/competition-198/season-187389/match-5228178/goal-s575-e622.mp4
5228178,1079,0.5065,0.0708,video/competition-198/season-187389/match-5228178/goal-s1066-e1113.mp4
5228178,5127,0.8935,0.8118,video/competition-198/season-187389/match-5228178/goal-s5114-e5161.mp4
5228179,3192,0.8239,0.2824,video/competition-198/season-187389/match-5228179/goal-s3179-e3226.mp4
5228179,3449,0.6402,0.1542,video/competition-198/season-187389/match-5228179/goal-s3437-e3484.mp4
5228180,631,0.1275,0.1774,video/competition-198/season-187389/match-5228180/goal-s618-e665.mp4
5228180,951,0.81,0.76,video/competition-198/season-187389/match-5228180/goal-s939-e986.mp4
5228180,4242,0.2396,0.3239,video/competition-198/season-187389/match-5228180/goal-s4229-e4276.mp4
5228180,5155,0.7722,0.4485,video/competition-198/season-187389/match-5228180/goal-s5143-e5190.mp4
5228180,5583,0.3389,0.03545,video/competition-198/season-187389/match-5228180/goal-s5571-e5618.mp4
5228181,1912,0.07972,0.04159,video/competition-198/season-187389/match-5228181/goal-s1900-e1947.mp4
5228181,2722,0.4183,0.4197,video/competition-198/season-187389/match-5228181/goal-s2710-e2757.mp4
5228182,2302,0.8551,0.8533,video/competition-198/season-187389/match-5228182/goal-s2289-e2336.mp4
5228182,3026,0.6002,0.2255,video/competition-198/season-187389/match-5228182/goal-s3013-e3060.mp4
5228182,5746,0.3184,0.04256,video/competition-198/season-187389/match-5228182/goal-s5734-e5781.mp4
5228182,5960,0.6301,0.5285,video/competition-198/season-187389/match-5228182/goal-s5948-e5995.mp4
5228183,2516,0.8892,0.5527,video/competition-198/season-187389/match-5228183/goal-s2504-e2551.mp4
5228183,4372,0.8294,0.4906,video/competition-198/season-187389/match-5228183/goal-s4359-e4406.mp4
5228184,1837,0.1898,0.07682,video/competition-198/season-187389/match-5228184/goal-s1825-e1872.mp4
5228184,2073,0.07183,0.1076,video/competition-198/season-187389/match-5228184/goal-s2061-e2108.mp4
